Đường,Phường,Quận/Huyện,Thành phố,duration_days,price,acreage,package,category,public_date,expired_date,ad_type,target_renter
Lê Đức Thọ,Phường 14,Quận Gò Vấp,Hồ Chí Minh,5,9.5, 70m,Tin miễn phí,Cho thuê căn hộ Quận Gò Vấp,31/10/2024 09:16,05/11/2024 09:16,Cho thuê căn hộ,Tất cả
Lâm Văn Bền,Phường Bình Thuận,Quận 7,Hồ Chí Minh,5,6.5, 50m,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 7,30/10/2024 15:51,04/11/2024 15:51,Cho thuê căn hộ dịch vụ,Tất cả
35 Phú Thuận,Phường Tân Phú,Quận 7,Hồ Chí Minh,7,2.6, 35m,Tin thường,Phòng trọ Quận 7,30/10/2024 15:59,06/11/2024 15:59,Phòng trọ,Tất cả
Đường số 28,Phường Hiệp Bình Chánh,Thủ Đức,Hồ Chí Minh,5,4.5, 30m,Tin thường,Phòng trọ Thủ Đức,30/10/2024 16:02,04/11/2024 16:02,Phòng trọ,Tất cả
Lê Đức Thọ,Phường 6,Quận Gò Vấp,Hồ Chí Minh,2,4.1, 20m,Tin thường,Phòng trọ Quận Gò Vấp,30/10/2024 16:04,02/11/2024 09:13,Phòng trọ,Tất cả
khu dân cư bảo anh Thạnh Lộc 26,Phường Thạnh Lộc,Quận 12,Hồ Chí Minh,7,1.3, 35m,Tin thường,Phòng trọ Quận 12,30/10/2024 16:07,06/11/2024 16:07,Phòng trọ,Tất cả
310 Phạm Văn Chiêu,Phường 9,Quận Gò Vấp,Hồ Chí Minh,,3.9, 25m,Tin thường,Phòng trọ Quận Gò Vấp,31/10/2024 00:04,,Phòng trọ,Tất cả
Đường Lê Đức Thọ,Phường 17,Quận Gò Vấp,Hồ Chí Minh,5,3.8, 25m,Tin miễn phí,Phòng trọ Quận Gò Vấp,30/10/2024 14:14,04/11/2024 14:14,Phòng trọ,Tất cả
Đường Ngọc Thụy,Phường Ngọc Thụy,Quận Long Biên,Hà Nội,5,1.3, 25m,Tin miễn phí,Tìm người ở ghép Quận Long Biên,31/10/2024 08:13,05/11/2024 08:13,Tìm người ở ghép,Tất cả
Đường Phan Huy Ích,Phường 15,Quận Tân Bình,Hồ Chí Minh,5,9, 75m,Tin miễn phí,Cho thuê căn hộ Quận Tân Bình,30/10/2024 14:38,04/11/2024 14:38,Cho thuê căn hộ,Tất cả
100/52/1 Đường Thích Quảng Đức,Phường 5,Quận Phú Nhuận,Hồ Chí Minh,2,1.8, 12m,Tin thường,Phòng trọ Quận Phú Nhuận,30/10/2024 14:43,01/11/2024 14:48,Phòng trọ,Nữ
19 Đường Tân Thuận Tây,Phường Bình Thuận,Quận 7,Hồ Chí Minh,4,4.5, 30m,Tin miễn phí,Cho thuê căn hộ mini Quận 7,30/10/2024 14:55,04/11/2024 11:45,Cho thuê căn hộ mini,Tất cả
Đường Hàn Hải Nguyên,Phường 8,Quận 11,Hồ Chí Minh,5,3.5, 18m,Tin miễn phí,Phòng trọ Quận 11,30/10/2024 14:47,04/11/2024 14:47,Phòng trọ,Tất cả
Đường Xô Viết Nghệ Tĩnh,Phường 15,Quận Bình Thạnh,Hồ Chí Minh,5,5.8, 25m,Tin thường,Phòng trọ Quận Bình Thạnh,30/10/2024 14:38,04/11/2024 14:38,Phòng trọ,Tất cả
71 Đường Nguyễn Bậc,Phường 3,Quận Tân Bình,Hồ Chí Minh,2,1.5, 35m,Tin thường,Phòng trọ Quận Tân Bình,30/10/2024 14:58,02/11/2024 11:44,Phòng trọ,Tất cả
Đường Nguyễn Văn Quỳ,Phường Phú Thuận,Quận 7,Hồ Chí Minh,5,4.5, 75m,Tin miễn phí,Phòng trọ Quận 7,30/10/2024 14:41,04/11/2024 14:41,Phòng trọ,Tất cả
Nguyễn Sỹ Sách,Phường 15,Quận Tân Bình,Hồ Chí Minh,5,10.5, 96m,Tin miễn phí,Cho thuê căn hộ Quận Tân Bình,30/10/2024 15:06,04/11/2024 15:06,Cho thuê căn hộ,Tất cả
39 Nguyễn Tất Thành,Phường 13,Quận 4,Hồ Chí Minh,5,1.3, 60m,Tin thường,Phòng trọ Quận 4,30/10/2024 14:54,04/11/2024 14:54,Phòng trọ,Tất cả
53/26 Đường Nguyễn Hồng Đào,Phường 14,Quận Tân Bình,Hồ Chí Minh,4,4.6, 26m,Tin miễn phí,Phòng trọ Quận Tân Bình,30/10/2024 15:21,04/11/2024 13:30,Phòng trọ,Tất cả
53/26 Đường Nguyễn Hồng Đào,Phường 14,Quận Tân Bình,Hồ Chí Minh,4,3.9, 24m,Tin miễn phí,Phòng trọ Quận Tân Bình,30/10/2024 15:21,04/11/2024 13:26,Phòng trọ,Tất cả
1/37 Đường Huỳnh Lan Khanh,Phường 2,Quận Tân Bình,Hồ Chí Minh,5,1.5, 100m,Tin thường,Phòng trọ Quận Tân Bình,30/10/2024 15:23,04/11/2024 15:23,Phòng trọ,Tất cả
Phan Đăng Lưu,Phường 5,Quận Phú Nhuận,Hồ Chí Minh,5,6.2, 25m,Tin thường,Cho thuê căn hộ dịch vụ Quận Phú Nhuận,30/10/2024 15:42,04/11/2024 15:42,Cho thuê căn hộ dịch vụ,Tất cả
Đường số 35CL,Phường Cát Lái,Quận 2,Hồ Chí Minh,2,3, 18m,Tin thường,Phòng trọ Quận 2,30/10/2024 15:50,02/11/2024 09:35,Phòng trọ,Tất cả
Phạm Văn Chiêu,Phường 14,Quận Gò Vấp,Hồ Chí Minh,5,9.5, 75m,Tin miễn phí,Cho thuê căn hộ Quận Gò Vấp,30/10/2024 10:54,04/11/2024 10:54,Cho thuê căn hộ,Tất cả
40 Trần Quang Diệu,Phường 14,Quận 3,Hồ Chí Minh,3,1.8, 35m,Tin thường,Phòng trọ Quận 3,30/10/2024 11:04,02/11/2024 11:43,Phòng trọ,Tất cả
215a Điện Biên Phủ,Phường 15,Quận Bình Thạnh,Hồ Chí Minh,6,1.6, 35m,Tin thường,Phòng trọ Quận Bình Thạnh,30/10/2024 12:17,05/11/2024 16:01,Phòng trọ,Tất cả
257/12 Lý Thường Kiệt,Phường 15,Quận 11,Hồ Chí Minh,2,6.8, 40m,Tin thường,Cho thuê mặt bằng Quận 11,30/10/2024 13:24,02/11/2024 08:29,Cho thuê mặt bằng,Tất cả
483 Lạc Long Quân,Phường 5,Quận 11,Hồ Chí Minh,1,5, 25m,Tin thường,Phòng trọ Quận 11,30/10/2024 12:38,01/11/2024 11:11,Phòng trọ,Tất cả
Đường Dương Bá Trạc,Phường 4,Quận 8,Hồ Chí Minh,5,6, 34m,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 8,30/10/2024 14:02,04/11/2024 14:02,Cho thuê căn hộ dịch vụ,Tất cả
102 Đường Lê Văn Thọ,Phường 11,Quận Gò Vấp,Hồ Chí Minh,5,3.5, 25m,Tin miễn phí,Phòng trọ Quận Gò Vấp,30/10/2024 12:21,04/11/2024 12:21,Phòng trọ,Tất cả
60 Đường Nguyễn Ngọc Lộc,Phường 14,Quận 10,Hồ Chí Minh,5,6.5, 28m,Tin thường,Phòng trọ Quận 10,30/10/2024 12:00,04/11/2024 12:00,Phòng trọ,Tất cả
Đường Bùi Văn Ba,Phường Tân Thuận Đông,Quận 7,Hồ Chí Minh,6,1.8, 12m,Tin thường,Phòng trọ Quận 7,30/10/2024 13:06,06/11/2024 13:05,Phòng trọ,Tất cả
Đường Hoàng Mai,Phường Vĩnh Hưng,Quận Hoàng Mai,Hà Nội,5,8, 87m,Tin miễn phí,Phòng trọ Quận Hoàng Mai,30/10/2024 13:50,04/11/2024 13:50,Phòng trọ,Tất cả
Phạm Văn Chiêu,Phường 14,Quận Gò Vấp,Hồ Chí Minh,5,9, 60m,Tin miễn phí,Cho thuê căn hộ Quận Gò Vấp,30/10/2024 14:10,04/11/2024 14:10,Cho thuê căn hộ,Tất cả
198 Đường Đỗ Xuân Hợp,Phường Phước Long A,Quận 9,Hồ Chí Minh,5,2.6, 25m,Tin thường,Phòng trọ Quận 9,30/10/2024 13:48,04/11/2024 13:48,Phòng trọ,Tất cả
Tô Hiến Thành,Phường 13,Quận 10,Hồ Chí Minh,,6, 30m,Tin thường,Cho thuê căn hộ mini Quận 10,30/10/2024 21:05,,Cho thuê căn hộ mini,Tất cả
Đường Thành Thái,Phường 14,Quận 10,Hồ Chí Minh,3,6, 35m,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 10,30/10/2024 21:05,02/11/2024 22:21,Cho thuê căn hộ dịch vụ,Tất cả
24 Võ Văn Hát,Phường Long Trường,Quận 9,Hồ Chí Minh,5,3.6, 30m,Tin thường,Phòng trọ Quận 9,30/10/2024 21:16,04/11/2024 21:16,Phòng trọ,Tất cả
11/8 Đường Nguyễn Văn Hưởng,Phường Thảo Điền,Quận 2,Hồ Chí Minh,4,4.9, 40m,Tin thường,Phòng trọ Quận 2,30/10/2024 21:43,04/11/2024 12:20,Phòng trọ,Tất cả
215 Đường Nguyễn Văn Hưởng,Phường Thảo Điền,Quận 2,Hồ Chí Minh,4,1.9, 40m,Tin thường,Phòng trọ Quận 2,30/10/2024 21:43,04/11/2024 12:22,Phòng trọ,Nữ
21 Nguyễn Văn Hưởng,Phường Thảo Điền,Quận 2,Hồ Chí Minh,4,1.9, 40m,Tin thường,Tìm người ở ghép Quận 2,30/10/2024 21:43,04/11/2024 12:23,Tìm người ở ghép,Nữ
215 Đường Nguyễn Văn Hưởng,Phường Thảo Điền,Quận 2,Hồ Chí Minh,7,25, 500m,Tin thường,Cho thuê nhà Quận 2,30/10/2024 21:44,06/11/2024 21:44,Nhà thuê nguyên căn,Tất cả
Hẻm 520 Quốc Lộ 13,Phường Hiệp Bình Phước,Thủ Đức,Hồ Chí Minh,4,3.2, 20m,Tin thường,Phòng trọ Thủ Đức,30/10/2024 21:53,04/11/2024 16:38,Phòng trọ,Tất cả
Phường Bình Chiểu,Quận Thủ Đức,Hồ Chí Minh,,5,1, 10m,Tin thường,Phòng trọ Thủ Đức,30/10/2024 22:08,04/11/2024 22:08,Phòng trọ,Tất cả
194/4/5 Đường Bùi Đình Túy,Phường 12,Quận Bình Thạnh,Hồ Chí Minh,4,3.5, 17m,Tin thường,Phòng trọ Quận Bình Thạnh,30/10/2024 22:14,04/11/2024 08:12,Phòng trọ,Tất cả
Đường Quốc Lộ 13,Phường 26,Quận Bình Thạnh,Hồ Chí Minh,6,3, 30m,Tin thường,Phòng trọ Quận Bình Thạnh,30/10/2024 22:14,05/11/2024 23:00,Phòng trọ,Tất cả
Hoàng Sa,Phường Đa Kao,Quận 1,Hồ Chí Minh,5,13, 50m,Tin thường,Cho thuê căn hộ mini Quận 1,30/10/2024 22:06,04/11/2024 22:06,Cho thuê căn hộ mini,Tất cả
61/70/12 59,Phường 14,Quận Gò Vấp,Hồ Chí Minh,23,3.7, 25m,Tin thường,Phòng trọ Quận Gò Vấp,30/10/2024 22:27,23/11/2024 13:05,Phòng trọ,Tất cả
Phố số 59,Phường 14,Quận Gò Vấp,Hồ Chí Minh,23,3.2, 20m,Tin thường,Phòng trọ Quận Gò Vấp,30/10/2024 22:26,23/11/2024 13:06,Phòng trọ,Tất cả
71a đường số 47 47,Phường Tân Quy,Quận 7,Hồ Chí Minh,,3.5, 16m,Tin miễn phí,Phòng trọ Quận 7,30/10/2024 22:16,,Phòng trọ,Tất cả
Đường Tân Mỹ,Phường Tân Thuận Tây,Quận 7,Hồ Chí Minh,23,3.3, 16m,Tin thường,Phòng trọ Quận 7,30/10/2024 22:26,23/11/2024 13:10,Phòng trọ,Tất cả
49 Đường Mai Lão Bạng,Phường 13,Quận Tân Bình,Hồ Chí Minh,23,3.6, 25m,Tin thường,Phòng trọ Quận Tân Bình,30/10/2024 22:27,23/11/2024 13:05,Phòng trọ,Tất cả
23 Nguyễn Hiến Lê,Phường 13,Quận Tân Bình,Hồ Chí Minh,4,2.2, 21m,Tin thường,Phòng trọ Quận Tân Bình,30/10/2024 22:40,04/11/2024 22:39,Phòng trọ,Tất cả
281 Lý Thường Kiệt,Phường 14,Quận 10,Hồ Chí Minh,5,5.2, 25m,Tin thường,Phòng trọ Quận 10,30/10/2024 22:55,04/11/2024 22:55,Phòng trọ,Tất cả
50 Đường số 7,Phường 10,Quận Gò Vấp,Hồ Chí Minh,,4.6, 20m,Tin thường,Cho thuê căn hộ dịch vụ Quận Gò Vấp,31/10/2024 00:03,,Cho thuê căn hộ dịch vụ,Tất cả
Đường CN1,Phường Sơn Kỳ,Quận Tân Phú,Hồ Chí Minh,5,2.6, 25m,Tin thường,Phòng trọ Quận Tân Phú,30/10/2024 17:04,04/11/2024 17:04,Phòng trọ,Tất cả
257/12 Phố Lý Thường Kiệt,Phường 15,Quận 11,Hồ Chí Minh,13,4.2, 20m,Tin thường,Phòng trọ Quận 11,30/10/2024 17:32,13/11/2024 13:24,Phòng trọ,Tất cả
53/34/97 Đường Bình Lợi,Phường 13,Quận Bình Thạnh,Hồ Chí Minh,5,2.4, 16m,Tin thường,Phòng trọ Quận Bình Thạnh,30/10/2024 17:59,04/11/2024 17:59,Phòng trọ,Tất cả
5/3A Đại Lộ Bình dương,phường bình hòa,Thành phố Thuận An,"Bình dương Đường Quốc Lộ 13, Phường Bình Hòa, Thành phố Thuận An, Bình Dương",2,0.8, 20m,Tin thường,Phòng trọ Thành phố Thuận An,30/10/2024 18:32,02/11/2024 10:48,Phòng trọ,Tất cả
140 Phạm Văn Chiêu,Phường 14,Quận Gò Vấp,Hồ Chí Minh,5,2.4, 15m,Tin thường,Phòng trọ Quận Gò Vấp,30/10/2024 09:01,04/11/2024 09:01,Phòng trọ,Tất cả
10 Đức Giang,Phường Đức Giang,Quận Long Biên,Hà Nội,5,16, 180m,Tin miễn phí,Cho thuê mặt bằng Quận Long Biên,30/10/2024 08:56,04/11/2024 08:56,Cho thuê mặt bằng,Tất cả
Đường Nguyễn Thị Xiếu,Phường Tân Thuận Tây,Quận 7,Hồ Chí Minh,5,5.5, 40m,Tin thường,Cho thuê căn hộ dịch vụ Quận 7,30/10/2024 09:01,04/11/2024 09:01,Cho thuê căn hộ dịch vụ,Tất cả
205/41/34 Đường Phạm Văn Chiêu,Phường 14,Quận Gò Vấp,Hồ Chí Minh,5,2.8, 20m,Tin thường,Phòng trọ Quận Gò Vấp,30/10/2024 09:01,04/11/2024 09:01,Phòng trọ,Tất cả
Đường Huỳnh Lan Khanh,Phường 2,Quận Tân Bình,Hồ Chí Minh,5,6, 30m,Tin thường,Phòng trọ Quận Tân Bình,30/10/2024 09:03,04/11/2024 09:03,Phòng trọ,Tất cả
8/1 Đường Lũy Bán Bích,Phường Tân Thới Hòa,Quận Tân Phú,Hồ Chí Minh,7,6.5, 40m,Tin thường,Phòng trọ Quận Tân Phú,30/10/2024 09:04,06/11/2024 09:04,Phòng trọ,Tất cả
Đường Nguyễn Tử Nha,Phường 12,Quận Tân Bình,Hồ Chí Minh,3,6, 25m,Tin miễn phí,Cho thuê căn hộ mini Quận Tân Bình,30/10/2024 08:59,02/11/2024 09:41,Cho thuê căn hộ mini,Tất cả
234 Đường Nguyễn Duy Trinh,Phường Bình Trưng Đông,Quận 2,Hồ Chí Minh,5,4.2, 30m,Tin thường,Phòng trọ Quận 2,30/10/2024 08:56,04/11/2024 08:56,Phòng trọ,Tất cả
Đường Phan Huy Ích,Phường 15,Quận Tân Bình,Hồ Chí Minh,4,10, 94m,Tin miễn phí,Cho thuê căn hộ Quận Tân Bình,30/10/2024 09:35,04/11/2024 09:34,Cho thuê căn hộ,Tất cả
Phan Văn Hớn,Phường Tân Thới Nhất,Quận 12,Hồ Chí Minh,,8, 80m,Tin miễn phí,Cho thuê căn hộ Quận 12,30/10/2024 09:35,,Cho thuê căn hộ,Tất cả
40/10/10 Nguyễn Khoái,Phường 2,Quận 4,Hồ Chí Minh,4,2.8, 17m,Tin thường,Phòng trọ Quận 4,30/10/2024 09:49,04/11/2024 09:48,Phòng trọ,Tất cả
17 Đường số 44,Phường Cát Lái,Quận 2,Hồ Chí Minh,7,4.3, 25m,Tin thường,Phòng trọ Quận 2,30/10/2024 09:11,07/11/2024 07:14,Phòng trọ,Tất cả
105/32 Đường Nguyễn Thị Tú,Phường Tây Thạnh,Quận Tân Phú,Hồ Chí Minh,5,2.6, 25m,Tin thường,Phòng trọ Quận Tân Phú,30/10/2024 09:36,04/11/2024 09:36,Phòng trọ,Tất cả
Đường Hồ Văn Long,Phường Tân Tạo,Quận Bình Tân,Hồ Chí Minh,5,2.3, 22m,Tin thường,Phòng trọ Quận Bình Tân,30/10/2024 09:37,04/11/2024 09:37,Phòng trọ,Tất cả
Đường Nguyễn Sỹ Sách,Phường 15,Quận Tân Bình,Hồ Chí Minh,5,3, 25m,Tin thường,Phòng trọ Quận Tân Bình,30/10/2024 09:43,04/11/2024 09:43,Phòng trọ,Tất cả
Đường số 1,Phường Tân Hưng,Quận 7,Hồ Chí Minh,5,3, 28m,Tin thường,Phòng trọ Quận 7,30/10/2024 09:33,04/11/2024 09:33,Phòng trọ,Tất cả
Đường số 19/5,Phường Sơn Kỳ,Quận Tân Phú,Hồ Chí Minh,10,2.7, 28m,Tin thường,Phòng trọ Quận Tân Phú,30/10/2024 09:57,09/11/2024 09:57,Phòng trọ,Tất cả
110 Đường An Nhơn,Phường 17,Quận Gò Vấp,Hồ Chí Minh,5,4, 20m,Tin miễn phí,Phòng trọ Quận Gò Vấp,30/10/2024 10:06,04/11/2024 10:06,Phòng trọ,Tất cả
Đường Cách Mạng Tháng Tám,Phường 13,Quận 10,Hồ Chí Minh,5,4.8, 30m,Tin thường,Phòng trọ Quận 10,30/10/2024 10:09,04/11/2024 10:09,Phòng trọ,Tất cả
212B/35 Nguyễn Trãi,Phường Nguyễn Cư Trinh,Quận 1,Hồ Chí Minh,,3.9, 15m,Tin thường,Phòng trọ Quận 1,30/10/2024 10:21,,Phòng trọ,Tất cả
128/29 Hùng Vương,Phường 2,Quận 10,Hồ Chí Minh,,4, 20m,Tin thường,Phòng trọ Quận 10,30/10/2024 10:21,,Phòng trọ,Tất cả
105A/17 Đường Hồ Thị Kỷ,Phường 1,Quận 10,Hồ Chí Minh,,4, 20m,Tin thường,Phòng trọ Quận 10,30/10/2024 10:21,,Phòng trọ,Tất cả
20A Đường Thăng Long,Phường 4,Quận Tân Bình,Hồ Chí Minh,2,3.1, 22m,Tin thường,Phòng trọ Quận Tân Bình,30/10/2024 10:22,02/11/2024 09:28,Phòng trọ,Tất cả
Đường Bạch Đằng,Phường 2,Quận Bình Thạnh,Hồ Chí Minh,2,2.5, 22m,Tin thường,Phòng trọ Quận Bình Thạnh,30/10/2024 10:22,02/11/2024 09:30,Phòng trọ,Tất cả
Đường Dương Bá Trạc,Phường 1,Quận 8,Hồ Chí Minh,,6.2, 30m,Tin thường,Phòng trọ Quận 8,30/10/2024 16:15,,Phòng trọ,Tất cả
Đường Quang Trung,Phường 11,Quận Gò Vấp,Hồ Chí Minh,5,4.1, 20m,Tin thường,Phòng trọ Quận Gò Vấp,30/10/2024 16:09,04/11/2024 16:09,Phòng trọ,Tất cả
Hẻm 166 Đường Hồ Bá Kiện,Phường 15,Quận 10,Hồ Chí Minh,5,4.5, 28m,Tin thường,Phòng trọ Quận 10,30/10/2024 16:31,04/11/2024 16:31,Phòng trọ,Tất cả
298 Đường Tân Hòa Đông,Phường Bình Trị Đông,Quận Bình Tân,Hồ Chí Minh,2,2.9, 28m,Tin thường,Phòng trọ Quận Bình Tân,30/10/2024 16:45,02/11/2024 14:57,Phòng trọ,Tất cả
52 ngõ 435 Xuân Đỉnh,Phường Xuân Đỉnh,Quận Bắc Từ Liêm,Hà Nội,5,4.5, 36m,Tin miễn phí,Cho thuê căn hộ mini Quận Bắc Từ Liêm,30/10/2024 16:24,04/11/2024 16:24,Cho thuê căn hộ mini,Tất cả
Phạm Văn Nghị,Phường Cổ Nhuế 2,Quận Bắc Từ Liêm,Hà Nội,7,3.5, 30m,Tin thường,Phòng trọ Quận Bắc Từ Liêm,30/10/2024 16:33,06/11/2024 16:33,Phòng trọ,Tất cả
Đường Trần Trọng Cung,Phường Tân Thuận Đông,Quận 7,Hồ Chí Minh,2,8, 50m,Tin thường,Cho thuê căn hộ dịch vụ Quận 7,30/10/2024 16:15,02/11/2024 01:01,Cho thuê căn hộ dịch vụ,Tất cả
Quang Trung,Phường Trần Hưng Đạo,Quận Hoàn Kiếm,Hà Nội,5,3, 17m,Tin miễn phí,Phòng trọ Quận Hoàn Kiếm,30/10/2024 16:33,04/11/2024 16:33,Phòng trọ,Tất cả
Bình Lợi,Phường 13,Quận Bình Thạnh,Hồ Chí Minh,5,6.95, 35m,Tin thường,Cho thuê căn hộ mini Quận Bình Thạnh,30/10/2024 16:22,04/11/2024 16:22,Cho thuê căn hộ mini,Tất cả
Đường Lê Văn Quới,Phường Bình Trị Đông A,Quận Bình Tân,Hồ Chí Minh,1,3.7, 30m,Tin thường,Phòng trọ Quận Bình Tân,30/10/2024 16:45,01/11/2024 15:05,Phòng trọ,Tất cả
Đường Hòa Bình,Phường Hiệp Tân,Quận Tân Phú,Hồ Chí Minh,,3.6, 30m,Tin thường,Phòng trọ Quận Tân Phú,30/10/2024 16:45,,Phòng trọ,Tất cả
Kinh Dương Vương,Phường 13,Quận 6,Hồ Chí Minh,,3.4, 28m,Tin thường,Cho thuê căn hộ dịch vụ Quận 6,30/10/2024 16:45,,Cho thuê căn hộ dịch vụ,Tất cả
Đường Bờ Bao Tân Thắng,Phường Sơn Kỳ,Quận Tân Phú,Hồ Chí Minh,3,2.9, 28m,Tin thường,Phòng trọ Quận Tân Phú,30/10/2024 16:46,02/11/2024 17:07,Phòng trọ,Tất cả
Kinh Dương Vương,Phường 12,Quận 6,Hồ Chí Minh,5,3.5, 28m,Tin thường,Phòng trọ Quận 6,30/10/2024 16:46,04/11/2024 16:46,Phòng trọ,Tất cả
280 Đường CN1,Phường Sơn Kỳ,Quận Tân Phú,Hồ Chí Minh,5,2.5, 20m,Tin thường,Phòng trọ Quận Tân Phú,30/10/2024 17:04,04/11/2024 17:04,Phòng trọ,Tất cả
Phan Huy Ích,Phường 15,Quận Tân Bình,Hồ Chí Minh,5,12, 120m,Tin miễn phí,Cho thuê căn hộ Quận Tân Bình,31/10/2024 09:23,05/11/2024 09:23,Cho thuê căn hộ,Tất cả
Đường Phạm Văn Chiêu,Phường 8,Quận Gò Vấp,Hồ Chí Minh,,3.9, 27m,Tin thường,Phòng trọ Quận Gò Vấp,31/10/2024 09:25,,Phòng trọ,Tất cả
Đường Bắc Hải,Phường 15,Quận 10,Hồ Chí Minh,4,5, 35m,Tin thường,Phòng trọ Quận 10,31/10/2024 10:13,04/11/2024 17:27,Phòng trọ,Tất cả
159 Ngô Quyền,Phường 6,Quận 10,Hồ Chí Minh,2,1.6, 30m,Tin thường,Phòng trọ Quận 10,31/10/2024 11:25,02/11/2024 14:54,Phòng trọ,Tất cả
Phan Huy Ích,Phường 15,Quận Tân Bình,Hồ Chí Minh,5,11, 96m,Tin miễn phí,Cho thuê căn hộ Quận Tân Bình,31/10/2024 09:58,05/11/2024 09:58,Cho thuê căn hộ,Tất cả
Cao Thắng,Phường 6,Quận 10,Hồ Chí Minh,4,6, 35m,Tin thường,Phòng trọ Quận 10,31/10/2024 10:13,04/11/2024 18:40,Phòng trọ,Tất cả
54 Trần Quang Khải,Phường Tân Định,Quận 1,Hồ Chí Minh,2,1.6, 40m,Tin thường,Phòng trọ Quận 1,31/10/2024 11:26,02/11/2024 11:43,Phòng trọ,Tất cả
Huỳnh Tấn Phát,Xã Phú Xuân,Huyện Nhà Bè,Hồ Chí Minh,5,13, 114m,Tin miễn phí,Cho thuê nhà Huyện Nhà Bè,31/10/2024 10:05,05/11/2024 10:05,Nhà thuê nguyên căn,Tất cả
338 Đường An Dương Vương,Phường 4,Quận 5,Hồ Chí Minh,,1.5, 35m,Tin thường,Phòng trọ Quận 5,31/10/2024 11:26,,Phòng trọ,Tất cả
488 Phố Lê Trọng Tấn,Phường Tây Thạnh,Quận Tân Phú,Hồ Chí Minh,2,1.5, 40m,Tin thường,Phòng trọ Quận Tân Phú,31/10/2024 11:26,02/11/2024 11:43,Phòng trọ,Tất cả
Phố Lý Thường Kiệt,Phường 14,Quận 10,Hồ Chí Minh,2,6, 35m,Tin miễn phí,Cho thuê căn hộ mini Quận 10,31/10/2024 10:13,02/11/2024 15:26,Cho thuê căn hộ mini,Tất cả
Cách Mạng Tháng Tám,Phường 13,Quận 10,Hồ Chí Minh,4,6.3, 45m,Tin thường,Cho thuê căn hộ dịch vụ Quận 10,31/10/2024 10:13,04/11/2024 18:39,Cho thuê căn hộ dịch vụ,Tất cả
Lý Thường Kiệt,Phường 7,Quận Tân Bình,Hồ Chí Minh,4,5.5, 35m,Tin thường,Phòng trọ Quận Tân Bình,31/10/2024 10:13,05/11/2024 10:12,Phòng trọ,Tất cả
214 Nguyễn Oanh,Phường 17,Quận Gò Vấp,Hồ Chí Minh,5,1, 30m,Tin thường,Phòng trọ Quận Gò Vấp,31/10/2024 11:26,05/11/2024 11:26,Phòng trọ,Tất cả
87 Cao Lỗ,Phường 4,Quận 8,Hồ Chí Minh,5,1.6, 30m,Tin thường,Phòng trọ Quận 8,31/10/2024 11:27,05/11/2024 11:27,Phòng trọ,Tất cả
